Id,Year,Post,SDG_0,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16
BRB_73_2018,2018,"Prime Minister, Minister for National Security and the Civil Service, and Minister for Finance, Economic Affairs and Investment",0.001588307786732912,0.007611476816236973,0.011332790367305279,0.0020747845992445946,0.004593416582792997,0.014043347910046577,0.005275124683976173,0.016654934734106064,0.006817104760557413,0.0022108512930572033,0.0037236567586660385,0.007620108313858509,0.005949983838945627,0.8951072096824646,0.0031563995871692896,0.008240221999585629,0.004000293090939522
IND_73_2018,2018,Minister for External Affairs,0.001663303468376398,0.5381830930709839,0.020611869171261787,0.01384796667844057,0.014171849936246872,0.28212568163871765,0.004113574046641588,0.007417147047817707,0.05016886815428734,0.0026522462721914053,0.035351838916540146,0.002823770046234131,0.005582436919212341,0.007947775535285473,0.004038017243146896,0.005454471800476313,0.0038461273070424795
ARG_73_2018,2018,President,0.003994781989604235,0.022467607632279396,0.023860258981585503,0.005524240434169769,0.014602860435843468,0.11966855823993683,0.004548432771116495,0.007284039165824652,0.004917915444821119,0.003729484975337982,0.011026344262063503,0.004664022009819746,0.009199212305247784,0.005282401107251644,0.0076117487624287605,0.0065350523218512535,0.7450829744338989
JOR_73_2018,2018,King,0.0006946119829080999,0.0007134457118809223,0.0005539376870729029,0.0003854635579045862,0.0008163917809724808,0.0012830417836084962,0.00031289897742681205,0.0004341272870078683,0.00032613729126751423,0.0005265640211291611,0.0008421819657087326,0.0006466550985351205,0.0008279679459519684,0.0004062783264089376,0.0005259106401354074,0.000865868991240859,0.9898386001586914
SWE_73_2018,2018,Chair of the Delegation,0.0036768661811947823,0.013725750148296356,0.012967031449079514,0.00826262030750513,0.013772830367088318,0.3860754370689392,0.0029967965092509985,0.00927579402923584,0.007336014416068792,0.0036564257461577654,0.01399474497884512,0.005403609946370125,0.008822904899716377,0.008215919137001038,0.006957780569791794,0.011166650801897049,0.48369285464286804
EST_73_2018,2018,President,0.0009140846086665988,0.0007448903052136302,0.0004885974922217429,0.0004470870189834386,0.0009354117792099714,0.0013510687276721,0.0003541650658007711,0.00040906426147557795,0.0003355459193699062,0.000678989861626178,0.0006424743332900107,0.0006204877863638103,0.0008029451710171998,0.0003921683819498867,0.0005947588942945004,0.000802913389634341,0.9894854426383972
MDG_73_2018,2018,President ad interim,0.0011920094257220626,0.0013686917955055833,0.0010897265747189522,0.0005437438376247883,0.0012963847257196903,0.001986946677789092,0.0006412189686670899,0.0008301777415908873,0.0004806357028428465,0.0009383092983625829,0.0011503435671329498,0.0009787729941308498,0.0012828268809244037,0.0009766829898580909,0.0009421691065654159,0.0011234087869524956,0.9831780791282654
BTN_73_2018,2018,Chief Advisor of the Interim Government and Minister for Foreign Affairs,0.00189222174230963,0.06754685938358307,0.11454925686120987,0.028206603601574898,0.08269116282463074,0.03663470968604088,0.0660242885351181,0.032881319522857666,0.1650441735982895,0.015940990298986435,0.06519819796085358,0.053143519908189774,0.011498481966555119,0.120573990046978,0.025293711572885513,0.10482756048440933,0.00805292185395956
NOR_73_2018,2018,Prime Minister,0.000712899025529623,0.0006603797082789242,0.00056646135635674,0.0002862547989934683,0.0006381356506608427,0.0010916226310655475,0.0002872795157600194,0.000338585814461112,0.00032075619674287736,0.0004925128887407482,0.0008982003200799227,0.0005946825258433819,0.0006711192545481026,0.00030843677814118564,0.00047421062481589615,0.0007443122449330986,0.9909141063690186
TUN_73_2018,2018,Minister for Foreign Affairs,0.000990630011074245,0.0014065204886719584,0.000981937162578106,0.000546409166418016,0.0014405185356736183,0.0025914451107382774,0.0006314425845630467,0.0007394565036520362,0.0004802847979590297,0.000787277240306139,0.0010988357244059443,0.0009891054360195994,0.0011390066938474774,0.0005028820014558733,0.0008120283600874245,0.0009345204452984035,0.9839277863502502
