Id,Year,Post,SDG_0,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16
BRB_73_2018,2018,"Prime Minister, Minister for National Security and the Civil Service, and Minister for Finance, Economic Affairs and Investment",0.0011796175967901945,0.006475250702351332,0.00972637627273798,0.012212129309773445,0.00666473526507616,0.020434116944670677,0.019491517916321754,0.012602973729372025,0.004843198694288731,0.005759157706052065,0.0029592583887279034,0.018175892531871796,0.012247211299836636,0.8247835040092468,0.010504746809601784,0.015297125093638897,0.016643201932311058
IND_73_2018,2018,Minister for External Affairs,0.0018368669552728534,0.47273075580596924,0.007833111099898815,0.01992969587445259,0.007652561645954847,0.3284001648426056,0.00340940966270864,0.008034801110625267,0.029033683240413666,0.0031176626216620207,0.04585147649049759,0.007164427544921637,0.014631208032369614,0.007639454212039709,0.004482815507799387,0.015275783836841583,0.022976115345954895
ARG_73_2018,2018,President,0.004925998393446207,0.04483024775981903,0.012470877729356289,0.013131145387887955,0.008251437917351723,0.30184563994407654,0.008555673994123936,0.00810477789491415,0.011172039434313774,0.004541456233710051,0.010606136173009872,0.010060072876513004,0.014201478101313114,0.008919937536120415,0.007983569987118244,0.019533822312951088,0.5108656287193298
JOR_73_2018,2018,King,0.001078869099728763,0.0011667197104543447,0.0009436043328605592,0.000851430173497647,0.0006421305006369948,0.0013014489086344838,0.0008179664146155119,0.0007179983658716083,0.0005669252132065594,0.0005767219117842615,0.000694186077453196,0.000684116268530488,0.0011200839653611183,0.0007606581784784794,0.0007083757082000375,0.0012200111523270607,0.9861488342285156
SWE_73_2018,2018,Chair of the Delegation,0.001998861785978079,0.010932530276477337,0.0064576249569654465,0.0058189560659229755,0.004797831177711487,0.8431681990623474,0.0047024087980389595,0.005695555359125137,0.008249056525528431,0.003978021442890167,0.004533255472779274,0.0041052838787436485,0.004877554252743721,0.006234297063201666,0.00520066823810339,0.011051940731704235,0.06819798052310944
EST_73_2018,2018,President,0.001823772327043116,0.0013790582306683064,0.0010072797304019332,0.0010175877250730991,0.0010571131715551019,0.0020281770266592503,0.0009379451512359083,0.0008832056191749871,0.0007944777025841177,0.001137093990109861,0.0006785305449739099,0.0009908177889883518,0.001575628062710166,0.0011171154910698533,0.0009358240058645606,0.0016626989236101508,0.9809737801551819
MDG_73_2018,2018,President ad interim,0.0017441825475543737,0.0023175387177616358,0.0019166924757882953,0.0015002613654360175,0.0011359055060893297,0.0030833003111183643,0.0013687550090253353,0.0011222922476008534,0.0009382313583046198,0.0011340854689478874,0.0011695835273712873,0.0012422098079696298,0.002044495427981019,0.0020081361290067434,0.0014126962050795555,0.0029596576932817698,0.9729021191596985
BTN_73_2018,2018,Chief Advisor of the Interim Government and Minister for Foreign Affairs,0.0030871578492224216,0.02073206752538681,0.026510531082749367,0.03519943729043007,0.032398756593465805,0.14186593890190125,0.03333253040909767,0.011878770776093006,0.06681159138679504,0.008108607493340969,0.012472341768443584,0.0626484677195549,0.024669548496603966,0.03660499304533005,0.03002055548131466,0.3960391879081726,0.05761951208114624
NOR_73_2018,2018,Prime Minister,0.0011144890449941158,0.0012223644880577922,0.0008611943922005594,0.0007356707938015461,0.0005396813503466547,0.0012502038152888417,0.0006675802287645638,0.0006151319248601794,0.0005848109722137451,0.0005801105289719999,0.0007907678955234587,0.0006421538419090211,0.0009694647742435336,0.0006065459456294775,0.0006713810726068914,0.0010510922875255346,0.9870973825454712
TUN_73_2018,2018,Minister for Foreign Affairs,0.001499095349572599,0.002127306303009391,0.001474558375775814,0.001310089137405157,0.001234296360053122,0.0037485198117792606,0.0012847670586779714,0.0009687655256129801,0.001120750792324543,0.0010051323333755136,0.0010366308270022273,0.001157107180915773,0.002024901332333684,0.001256113639101386,0.0012015285901725292,0.0022527019027620554,0.975297749042511
