Id,Year,Post,SDG_1,SDG_2,SDG_3,SDG_4,SDG_5,SDG_6,SDG_7,SDG_8,SDG_9,SDG_10,SDG_11,SDG_12,SDG_13,SDG_14,SDG_15,SDG_16
CYP_64_2009,2009,President,0.07243409007787704,0.0015129920793697238,0.000855292659252882,0.0010781711898744106,0.0010902818758040667,0.000828441814519465,0.0010282081784680486,0.0033208001405000687,0.001147272763773799,0.13907285034656525,0.0015993950655683875,0.0013948959531262517,0.0028988849371671677,0.001246803323738277,0.0004031835123896599,0.7700883746147156
COD_64_2009,2009,Minister for Foreign Affairs,0.0003119195462204516,7.503909728256986e-05,0.00013068130647297949,0.0002689193934202194,0.0004215669468976557,6.332142220344394e-05,7.816572906449437e-05,6.442621088353917e-05,6.710155139444396e-05,0.0008960937266238034,0.00011701367475325242,5.727924144593999e-05,0.00010189785098191351,0.00016753317322582006,7.975150947459042e-05,0.9970993995666504
SMR_64_2009,2009,Minister for Foreign Affairs,0.0012933601392433047,0.009087147191166878,0.0003960984176956117,0.0003512210678309202,0.0005072523490525782,0.0004664245352614671,0.00030789204174652696,0.00022684094437863678,0.0005684379138983786,0.0013383068144321442,0.0006809214246459305,0.0006183663499541581,0.0036112701054662466,0.001425235066562891,0.0007033715955913067,0.9784178137779236
GRC_64_2009,2009,UN Representative,8.533147774869576e-05,6.83530597598292e-05,7.399154856102541e-05,0.00011305251973681152,0.0003925962664652616,6.0376612964319065e-05,7.724554598098621e-05,3.4490120015107095e-05,7.973453466547653e-05,0.0001717968116281554,7.713211380178109e-05,7.218454265967011e-05,0.00012345735740382224,0.0003379426198080182,0.00012935047561768442,0.9981029033660889
AZE_64_2009,2009,Minister for Foreign Affairs,5.148824129719287e-05,4.2780779040185735e-05,5.885499558644369e-05,6.338171078823507e-05,0.0001890565181383863,3.689695950015448e-05,3.41088161803782e-05,2.4499786377418786e-05,3.2788495445856825e-05,0.00013858763850294054,4.321296728448942e-05,2.9335380531847477e-05,3.3938824344659224e-05,0.00011056644143536687,4.773104956257157e-05,0.9990628361701965
HUN_64_2009,2009,Minister for Foreign Affairs,0.005237319506704807,0.0013454955769702792,0.0002636888239067048,0.0007452514255419374,0.00022990183788351715,0.0006422530277632177,0.002086048945784569,0.0021778359077870846,0.0022073143627494574,0.0021456333342939615,0.002186025958508253,0.0020462973043322563,0.9745469689369202,0.0004907952970825136,0.0011880130041390657,0.00246107904240489
ISL_64_2009,2009,Minister for Foreign Affairs,0.013102209195494652,0.0010940239299088717,0.0013359645381569862,0.0031040741596370935,0.006770891137421131,0.0007565637351945043,0.0031729715410619974,0.03758153319358826,0.0030218898318707943,0.20407700538635254,0.004175248090177774,0.002273843390867114,0.002129562199115753,0.002767809433862567,0.0010341961169615388,0.7136021852493286
LIE_64_2009,2009,Minister for Foreign Affairs,0.000676550145726651,0.00010307454067515209,0.00013981619849801064,0.0002469278988428414,0.000471511302748695,0.00014767394168302417,0.0002919029211625457,9.517448779661208e-05,0.0001237615360878408,0.0010376307182013988,0.00018563451885711402,0.00011831007577711716,0.001498446217738092,0.0003536183212418109,0.00018209316476713866,0.9943278431892395
VEN_64_2009,2009,President,0.0006148607935756445,0.0002119774289894849,0.0005233388510532677,0.0010714540258049965,0.0013868376845493913,0.00022875959984958172,0.0003792316420003772,0.00014042943075764924,0.0002097333053825423,0.0017824772512540221,0.000369991990737617,0.00026279769372195005,0.001048694597557187,0.0003445369366090745,0.00033295596949756145,0.9910919070243835
UZB_64_2009,2009,Minister for Foreign Affairs,0.012584080919623375,0.0030572013929486275,0.0020959991961717606,0.010895369574427605,0.004901914857327938,0.008463064208626747,0.1288945972919464,0.017744744196534157,0.04211009293794632,0.03082803450524807,0.006266802083700895,0.017772363498806953,0.4646762013435364,0.006055863108485937,0.006880202330648899,0.23677344620227814
COM_64_2009,2009,President,0.002557346597313881,0.0005403633113019168,0.000451936706667766,0.00033874736982397735,0.0026526646688580513,0.00030110214720480144,0.00021710357395932078,0.00016831415996421129,0.0002231455291621387,0.00542539544403553,0.0006387464236468077,0.00012681185035035014,0.0007842264021746814,0.0008960794657468796,0.00039022372220642865,0.9842878580093384
AFG_64_2009,2009,Minister for Foreign Affairs,5.684211282641627e-05,4.422293932293542e-05,5.6241849961224943e-05,9.193579899147153e-05,0.00018461474974174052,3.957447916036472e-05,4.8282927309628576e-05,2.560789835115429e-05,4.2163472244283184e-05,0.00015597355377394706,4.273226659279317e-05,3.607815597206354e-05,4.3522799387574196e-05,0.0001158776503871195,5.235721982899122e-05,0.9989640712738037
MDA_64_2009,2009,UN Representative,5.161463195690885e-05,4.834243009099737e-05,6.286824645940214e-05,6.746534927515313e-05,0.00015588276437483728,4.335144330980256e-05,4.765808262163773e-05,2.1130021195858717e-05,3.731597098521888e-05,0.00011636174167506397,4.267384792910889e-05,3.9067177567631006e-05,8.347017865162343e-05,0.0001358933513984084,5.855808558408171e-05,0.9989883303642273
PAN_64_2009,2009,President,0.0024202214553952217,0.002823972376063466,0.0012093435507267714,0.0022552963346242905,0.004094306379556656,0.0022615802008658648,0.002118340926244855,0.0011008367873728275,0.0029187737964093685,0.002851086901500821,0.006277128122746944,0.006461277138441801,0.039800986647605896,0.11250212043523788,0.01280372217297554,0.798101007938385
URY_64_2009,2009,President,7.2524904680904e-05,4.082394661963917e-05,5.803381645819172e-05,7.186566654127091e-05,0.0003207780246157199,4.9272628530161455e-05,4.963710671290755e-05,2.428052539471537e-05,2.7143671104568057e-05,0.00019877635349985212,4.9686837883200496e-05,3.0466020689345896e-05,3.334344000904821e-05,0.0001142377223004587,6.0444574046414346e-05,0.9987986087799072
SUR_64_2009,2009,Vice-President,0.00021042021398898214,8.146969776134938e-05,0.0001278515555895865,9.739874803926796e-05,0.0003820143756456673,8.653361874166876e-05,7.61914998292923e-05,4.9624919483903795e-05,8.482656994601712e-05,0.00031843577744439244,9.65031940722838e-05,6.495646084658802e-05,0.00025321252178400755,0.00024294796457979828,0.00011670696403598413,0.9977109432220459
ZWE_64_2009,2009,President,0.0039101578295230865,0.0002863627451006323,0.0002371484733885154,0.0008319952758029103,0.0015740003436803818,0.0002626050845719874,0.0003241899248678237,0.000487514422275126,0.00023177670664153993,0.03671793267130852,0.0004758673021569848,0.000209542820812203,0.00046540674520656466,0.00041285381303168833,0.00025868596276268363,0.953313946723938
