id,year,post,sdg_0,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sub_region,inter_region,continent,max_sdg_mentioned,max_sdg_column,country_abb,ppp,sdg_index_score,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,no_sdg_related,reducing_ineq,acc_safe_cond,sust_growth,education,sust_partner,climate_action,reducing_ineq_eval,acc_safe_cond_eval,sust_growth_eval,education_eval,sust_partner_eval,climate_action_eval
BRB_73_2018,2018,"Prime Minister, Minister for National Security and the Civil Service, and Minister for Finance, Economic Affairs and Investment",0.15883077867329098,0.7611476816236971,1.133279036730527,0.20747845992445899,0.45934165827929907,1.404334791004657,0.527512468397617,1.665493473410606,0.681710476055741,0.22108512930572,0.37236567586660296,0.76201083138585,0.594998383894562,89.51072096824646,0.315639958716928,0.824022199958562,0.400029309093952,Latin America and the Caribbean,Caribbean,Americas,89.51072096824646,sdg_13,BRB,18335.95006,69.77471316,NA,51.5885,84.61123077,96.07625,68.20675,52.19625,68.81275,67.09733333,52.539,NA,97.212,56.35033333,84.8915,62.6545,55.179,72.0543,77.151,0.15883077867329098,2.2667923942208272,2.400484401732682,1.302824914455413,1.8636764492839561,1.357009215280412,90.65038312692195,51.5885,68.54007692333333,63.89687777666666,82.14150000000001,76.90444444333333,67.575
IND_73_2018,2018,Minister for External Affairs,0.166330346837639,53.81830930709839,2.061186917126178,1.384796667844057,1.417184993624687,28.212568163871765,0.41135740466415804,0.74171470478177,5.016886815428734,0.26522462721914003,3.5351838916540137,0.282377004623413,0.5582436919212339,0.794777553528547,0.403801724314689,0.545447180047631,0.384612730704247,Southern Asia,Southern Asia,Asia,53.81830930709839,sdg_1,IND,1974.377731,60.53201282,82.5575,51.011875,63.63464286,78.72725,36.35425,57.1464,62.02225,73.71028571,45.93957143,40,53.96825,83.15014286,94.018,52.6905,46.1858,55.8483,52.0792,0.166330346837639,59.41468011587858,2.537868777289985,5.6667241733521205,29.629753157496452,0.8406206965446469,1.744026457890867,57.856458333333336,60.93443095333333,58.49938571333333,57.54075,63.06586428666666,64.2981
ARG_73_2018,2018,President,0.399478198960423,2.2467607632279387,2.38602589815855,0.5524240434169759,1.460286043584346,11.966855823993685,0.454843277111649,0.728403916582465,0.491791544482111,0.372948497533798,1.1026344262063499,0.466402200981974,0.919921230524778,0.528240110725164,0.7611748762428759,0.653505232185125,74.50829744338989,Latin America and the Caribbean,South America,Americas,74.50829744338989,sdg_16,ARG,11795.16275,73.77952577,96.7475,66.277,82.08207143,96.26633333,77.63975,77.6718,73.16175,72.94914286,53.75742857,45.126,88.8635,79.13842857,89.54366667,60.76066667,60.5966,63.7347,69.9356,0.399478198960423,5.735421087592838,1.7356712371110898,75.3730374854058,13.427141867578031,1.386323431506752,1.942920219153165,69.3835,77.63854047666666,63.48042381,86.953041665,79.31250952333333,70.30031111333334
JOR_73_2018,2018,King,0.069461198290809,0.07134457118809201,0.05539376870729,0.038546355790458,0.08163917809724801,0.12830417836084898,0.031289897742681,0.043412728700785996,0.032613729126751,0.052656402112916,0.084218196570873,0.06466550985351201,0.082796794595196,0.040627832640893,0.052591064013539995,0.086586899124085,98.98386001586914,Western Asia,Western Asia,Asia,98.98386001586914,sdg_16,JOR,4146.407311,67.5229644,98.318,50.79914286,78.76942857,59.649,39.79975,54.867,71.30475,57.83471429,55.94214286,77.049,58.381,89.05685714,90.309,82.02975,51.12275,70.03690909,62.6212,0.069461198290809,0.210956536466255,0.11324898223392499,99.06913014710881,0.20994335645809697,0.147462304448708,0.17980579577851802,75.38871428666667,68.31372619,61.271255413333336,49.724375,70.01968571333333,74.48716666666667
SWE_73_2018,2018,Chair of the Delegation,0.367686618119478,1.372575014829635,1.296703144907951,0.8262620307505131,1.377283036708831,38.60754370689392,0.29967965092509896,0.927579402923584,0.733601441606879,0.36564257461577604,1.399474497884512,0.5403609946370119,0.8822904899716371,0.8215919137001031,0.695778056979179,1.116665080189704,48.3692854642868,Northern Europe,Northern Europe,Europe,48.3692854642868,sdg_16,SWE,54589.06039,84.59811991,98.5795,64.3095,96.40566667,99.063,88.87975,92.354,97.2595,81.053,96.93471429,94.2915,93.98725,53.951,74.843,66.02116667,69.3012,89.04909091,81.8852,0.367686618119478,4.068752657622098,2.053521084599196,49.46852948050945,39.98482674360275,1.4226514846086489,2.6340350508689863,85.72683333333333,95.33972222333334,89.0122684,93.971375,76.60781666666666,70.05512222333333
EST_73_2018,2018,President,0.091408460866659,0.07448903052136299,0.048859749222174,0.044708701898343,0.093541177920997,0.13510687276721,0.035416506580077,0.040906426147557,0.03355459193699,0.067898986162617,0.064247433329001,0.062048778636380995,0.080294517101719,0.039216838194988,0.05947588942945,0.080291338963434,98.94854426383972,Northern Europe,Northern Europe,Europe,98.94854426383972,sdg_16,EST,23165.84948,78.64801299,98.2735,61.320875,88.18378571,96.10975,74.811,87.3858,81.1765,76.75671429,80.73742857,90.119,98.25775,40.51871429,60.30866667,85.7805,78.5938,88.92763636,49.7548,0.091408460866659,0.187596213072538,0.12103163462597699,99.04999784193933,0.228648050688207,0.1423432957381,0.17898406658787203,83.23779166666667,85.58202856999999,82.14059307333333,85.460375,62.843754763333344,74.89432222333333
MDG_73_2018,2018,President ad interim,0.119200942572206,0.136869179550558,0.108972657471895,0.054374383762478,0.129638472571969,0.19869466777890898,0.064121896866708,0.08301777415908801,0.048063570284284,0.093830929836258,0.11503435671329401,0.09787729941308401,0.12828268809244,0.097668298985809,0.094216910656541,0.11234087869524899,98.31780791282654,Sub-Saharan Africa,Eastern Africa,Africa,98.31780791282654,sdg_16,MDG,512.5439915,51.12557829,3.2205,52.10775,36.16871429,54.653,66.439,43.9158,38.2585,66.66842857,9.734857143,40.17,55.9815,96.80871429,99.35133333,65.67783333,46.3374,42.5611,51.0804,0.119200942572206,0.360876193735747,0.201514054788274,98.45970241294708,0.328333140350878,0.22615998750552402,0.304226088337599,31.832750000000004,39.44767142999999,39.65479523766667,60.54599999999999,67.95687142999999,70.45552221999999
BTN_73_2018,2018,Chief Advisor of the Interim Government and Minister for Foreign Affairs,0.189222174230963,6.754685938358307,11.454925686120989,2.820660360157489,8.269116282463074,3.663470968604088,6.60242885351181,3.2881319522857657,16.50441735982895,1.594099029898643,6.519819796085358,5.3143519908189765,1.149848196655511,12.0573990046978,2.529371157288551,10.482756048440931,0.805292185395956,Southern Asia,Southern Asia,Asia,16.50441735982895,sdg_8,BTN,3389.777303,69.4777994,92.041,51.49916667,72.23157143,60.89275,54.75975,69.7132,73.857,71.2938,45.24733333,64.369,85.3595,75.54433333,85.7005,NA,64.6142,87.12028571,57.4014,0.189222174230963,24.72943142056465,12.711221165955067,18.90380857512355,11.932587251067162,6.464200187474487,25.069526210427284,69.30305555666666,71.93392381,67.88713968,57.82625,72.76841111,75.15735000000001
NOR_73_2018,2018,Prime Minister,0.071289902552962,0.066037970827892,0.056646135635674,0.028625479899346,0.06381356506608399,0.10916226310655401,0.028727951576001,0.033858581446111,0.032075619674287,0.049251288874074005,0.08982003200799199,0.059468252584338,0.06711192545481,0.030843677814118002,0.047421062481589,0.074431224493309,99.09141063690186,Northern Europe,Northern Europe,Europe,99.09141063690186,sdg_16,NOR,82792.84271,81.19598143,99.2095,59.805625,97.02023077,98.155,88.18925,82.1574,98.7035,82.048,91.11514286,99.859,97.64425,41.10628571,29.377,73.2095,61.6314,90.886,90.2146,0.071289902552962,0.212504138471558,0.091212012921458,99.17273754545022,0.172975828172638,0.126580178039148,0.15269596478901598,86.291375,92.62704359000001,88.016380953333325,93.172125,76.32171190333334,54.73929999999999
TUN_73_2018,2018,Minister for Foreign Affairs,0.099063001107424,0.140652048867195,0.09819371625781001,0.054640916641801,0.144051853567361,0.259144511073827,0.063144258456304,0.073945650365203,0.048028479795902,0.078727724030613,0.109883572440594,0.09891054360195899,0.11390066938474701,0.050288200145587,0.081202836008742,0.09345204452984,98.39277863502502,Northern Africa,Northern Africa,Africa,98.39277863502502,sdg_16,TUN,3577.175342,72.49837812,97.641,61.554625,76.92684615,85.00266667,49.67375,61.914,68.5295,62.96485714,51.25228571,80.8475,86.8745,85.82414286,92.71766667,62.93283333,66.6834,66.76945455,74.3634,0.099063001107424,0.34872933756559904,0.191730825463308,98.51953483885154,0.403196364641188,0.212811212986706,0.22494308068416902,80.014375,69.12344871666666,60.328865799999996,67.33820833499999,82.35401428666667,74.1113
