speech_id,country_abb,year,session,period,year_diff,sub_region,inter_region,continent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT_73_2018,AUT,2018,73,After,3,Western Europe,Western Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX_73_2018,MEX,2018,73,After,3,Latin America and the Caribbean,Central America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG_73_2018,ATG,2018,73,After,3,Latin America and the Caribbean,Caribbean,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJK_73_2018,TJK,2018,73,After,3,Central Asia,Central Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB_73_2018,SLB,2018,73,After,3,Melanesia,Melanesia,Oceania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHL_73_2018,PHL,2018,73,After,3,South-eastern Asia,South-eastern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRK_73_2018,PRK,2018,73,After,3,Eastern Asia,Eastern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL_73_2018,POL,2018,73,After,3,Eastern Europe,Eastern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LKA_73_2018,LKA,2018,73,After,3,Southern Asia,Southern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA_73_2018,DZA,2018,73,After,3,Northern Africa,Northern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN_73_2018,CHN,2018,73,After,3,Eastern Asia,Eastern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BFA_73_2018,BFA,2018,73,After,3,Sub-Saharan Africa,Western Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT_73_2018,PRT,2018,73,After,3,Southern Europe,Southern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI_73_2018,CRI,2018,73,After,3,Latin America and the Caribbean,Central America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_73_2018,ECU,2018,73,After,3,Latin America and the Caribbean,South America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR_73_2018,GBR,2018,73,After,3,Northern Europe,Northern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGR_73_2018,BGR,2018,73,After,3,Eastern Europe,Eastern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB_73_2018,GNB,2018,73,After,3,Sub-Saharan Africa,Western Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN_73_2018,PAN,2018,73,After,3,Latin America and the Caribbean,Central America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY_73_2018,URY,2018,73,After,3,Latin America and the Caribbean,South America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR_73_2018,SUR,2018,73,After,3,Latin America and the Caribbean,South America,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG_73_2018,AFG,2018,73,After,3,Southern Asia,Southern Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA_73_2018,MDA,2018,73,After,3,Eastern Europe,Eastern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM_73_2018,COM,2018,73,After,3,Sub-Saharan Africa,Eastern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM_73_2018,TKM,2018,73,After,3,Central Asia,Central Asia,Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB_73_2018,ZMB,2018,73,After,3,Sub-Saharan Africa,Eastern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX_73_2018,LUX,2018,73,After,3,Western Europe,Western Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE_73_2018,ZWE,2018,73,After,3,Sub-Saharan Africa,Eastern Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCT_73_2018,VCT,2018,73,After,3,Latin America and the Caribbean,Caribbean,Americas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD_73_2018,COD,2018,73,After,3,Sub-Saharan Africa,Middle Africa,Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMR_73_2018,SMR,2018,73,After,3,Southern Europe,Southern Europe,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
