Series Name,Series Code,country_name,country_abb,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
GDP per capita (current US$),NY.GDP.PCAP.CD,Czechia,CZE,22804.57768,19861.69743,19960.06849,21871.26608,19870.80121,20133.16914,19890.91991,17829.69832,18575.23203,20636.19995,23424.48046,23664.84786,22992.87938,26822.51419,27226.61564,30427.42347
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,64322.0635,58163.27688,58041.39844,61753.64713,58507.50805,61191.1937,62548.98473,53254.85637,54663.99837,57610.09818,61591.92887,59592.98069,60836.59241,69268.6518,67790.05399,67967.38187
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,1131.635726,1164.251683,1227.820853,1322.726251,1418.460858,2102.197948,2239.114538,2409.311902,2545.738799,2655.73322,2755.838293,2876.043664,2921.738706,3062.551482,3278.138696,3606.416896
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,6661.465047,7109.978253,7182.400203,7288.497948,7054.875977,7240.679119,7502.12091,7724.042411,8223.04145,7408.091301,7833.195013,8561.587011,7003.469891,7668.158132,8347.32336,8953.896394
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,5053.330285,5002.15317,5509.568034,5859.381524,6049.471587,6171.295127,6533.670911,6838.936746,7191.069703,7513.497982,7947.159331,8173.344699,7167.914974,8476.749639,10111.24571,10716.01336
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,4217.444584,4076.234948,4546.578775,5183.6237,5666.217447,6141.983181,6436.761037,6002.108311,5941.234709,6256.683019,6316.468841,6203.727051,5450.433761,6036.447274,6476.644575,6533.351504
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,1941.899973,2212.218148,2509.772034,2645.622535,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2439.967284,2531.200079,3017.258336,3571.556907,3886.722498,4295.407496,3512.580065
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,2964.17214,2889.685887,3017.307395,3304.974183,3471.051269,3555.1621,3638.517658,3761.51368,3870.312982,3986.049014,4145.862351,4280.288404,3960.313892,4599.678786,5048.443973,5344.214394
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,19849.71777,14398.77049,14905.51458,18659.41602,18756.42503,17644.5943,16804.92493,9788.983804,8035.307666,8410.397974,8719.186876,7317.390026,6198.942519,7473.926061,8052.256529,7066.616593
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,459.1784027,602.0632238,504.9724602,643.7900423,..,..,..,..,..,..,..,..,..,..,..,..
