"id","Country","year","SDG Index Score","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17","goal_mean_1_to_16"
"AFG","Afghanistan",2015,41.5124087301587,30.885,39.1714285714286,33.5193571428572,17.4635,19.13175,36.6188,26.58375,44.9268571428572,7.94171428571429,NA,34.63025,94.8438571428571,98.6766666666667,NA,57.2632,46.833,34.197,42.0349379251701
"AFG","Afghanistan",2016,44.3111464935065,30.5965,37.9625714285714,34.5322142857143,38.513,19.68175,39.9494,34.974,44.3165714285714,9.603,NA,34.15325,95.2942857142857,98.801,NA,60.7642,47.8064545454545,37.719,44.7820141001855
"AFG","Afghanistan",2017,45.0252526984127,30.4905,36.4868571428571,35.3785714285714,39.8375,20.26575,41.3612,35.21225,45.7212857142857,10.3438571428571,NA,34.355,94.9682857142857,98.8573333333333,NA,65.2614,47.666,39.173,45.4432707482993
"AFG","Afghanistan",2018,45.5087805916306,29.9595,40.6278571428571,36.9478571428571,41.0835,21.1835,42.2046,33.934,46.5628571428571,11.1022857142857,NA,33.17775,95.0475714285714,98.6106666666667,NA,65.2614,45.9373636363636,40.991,45.8314792053185
"AFG","Afghanistan",2019,46.171753968254,30.3085,39.651,36.4287857142857,42.9035,23.89,44.7332,35.741,46.4605714285714,11.2837142857143,NA,35.3,95.0735714285714,98.5456666666667,NA,65.2212,46.135,40.9006,46.5482649659864
"AFG","Afghanistan",2020,47.5132427561327,28.626,38.3937142857143,37.2816428571429,42.9035,26.453,48.9904,35.94125,46.8605714285714,11.2271428571429,NA,35.78,95.3185714285714,98.8546666666667,NA,77.5108,45.4991818181818,43.0582,47.8314600958565
"AFG","Afghanistan",2021,46.2430441702742,19.606,37.7247142857143,34.9837857142857,35.23,28.87875,49.8324,36.59,45.1402857142857,11.1971428571429,NA,34.3705,95.4607142857143,98.8963333333333,NA,77.5108,44.7376363636364,43.4866,46.4399330395795
"AFG","Afghanistan",2022,45.4595802886003,16.794,37.5927142857143,35.8687142857143,35.23,17.53875,51.0218,36.59,42.8585714285714,16.6058571428571,NA,34.50975,95.5035714285714,98.9146666666667,NA,77.4748,41.9039090909091,43.4866,45.6005074520717
"AFG","Afghanistan",2023,48.236203692386,5.1265,37.5927142857143,36.3981428571429,35.23,17.53875,51.1754,36.59,41.597,16.1234285714286,NA,34.50975,95.5407142857143,98.9146666666667,NA,77.4748,41.4229090909091,43.4866,44.6596268398268
"AGO","Angola",2015,51.9608625859435,52.724,55.299875,32.7299285714286,42.37875,49.32625,51.3914,35.1155,57.0595714285714,16.3441428571429,39.4355,44.84425,92.5207142857143,91.0206666666667,69.5753333333333,63.3874,40.1131818181818,50.0682,52.0791539975649
"AGO","Angola",2016,52.0509793926662,48.6075,55.372875,32.6720714285714,45.97875,49.51075,52.759,37.46375,57.2284285714286,16.6517142857143,39.4355,43.6685,93.2704285714286,92.371,68.51,63.3374,40.4981818181818,47.5308,52.3334906047078
"AGO","Angola",2017,52.0515944932518,42.324,55.007125,33.2245714285714,45.97875,50.41425,52.8724,39.25925,57.1578571428571,17.1605714285714,39.4355,44.93975,93.0878571428571,92.4936666666667,69.1846666666667,63.3374,40.5180909090909,48.4814,52.2747316490801
"AGO","Angola",2018,50.6104285268653,37.84,55.056125,34.7968571428571,45.97875,46.65825,53.3342,42.556,57.2351428571429,16.3961428571429,16.479,43.11375,92.7071428571429,92.9663333333333,67.3175,63.3374,40.9100909090909,53.6946,50.4176678097944
"AGO","Angola",2019,50.7814629742806,36.123,54.699,35.2605714285714,45.97875,46.59225,53.5642,44.75425,55.9034285714286,17.1754285714286,16.479,42.43225,93.3248571428571,93.3526666666667,67.566,65.5366,40.9908181818182,53.5518,50.6083169101732
"AGO","Angola",2020,51.0719539979628,30.0425,53.92975,34.968,45.97875,46.74075,54.7762,46.96075,57.4022857142857,17.6918571428571,16.479,43.26325,94.5312857142857,94.0303333333333,67.4188333333333,65.5366,42.3942727272727,56.0788,50.7590261228355
"AGO","Angola",2021,51.2970266042781,31.075,53.337875,37.4133571428571,45.97875,46.862,54.9106,47.2085,58.0114285714286,18.0627142857143,16.479,43.604,94.418,94.4556666666667,67.2788333333333,65.5366,42.8217272727273,54.5954,51.0908782670454
"AGO","Angola",2022,51.5785559842119,33.081,53.25925,37.5634285714286,48.65675,46.15725,55.0122,47.58975,58.729,19.0335714285714,16.479,42.36475,94.4015714285714,94.5506666666667,67.2975,66.5306,41.8403636363636,54.2888,51.4091657332251
"AGO","Angola",2023,51.9293508530685,32.6725,53.25925,37.5634285714286,48.65675,50.8355,55.0684,47.58975,58.9685714285714,21.1814285714286,16.479,42.36475,94.4658571428572,94.5506666666667,67.3791666666667,66.5306,40.9445454545455,54.2888,51.7818852813853
"ALB","Albania",2015,71.5391335752483,96.5275,46.8302857142857,80.8650714285714,94.54425,49.22475,75.6502,82.57925,58.8264285714286,36.4638571428571,81.504,86.523,80.8137142857143,90.39,43.194,82.9696,66.2373636363636,63.022,72.0714544237013
"ALB","Albania",2016,71.7635598166539,96.3435,45.9357142857143,81.0192142857143,96.042,50.09775,75.8362,84.23425,59.7862857142857,35.648,78.4865,88.102,80.9758571428572,90.2295,44.3992,82.9718,66.2315454545455,63.6412,72.2712073051948
"ALB","Albania",2017,72.6621601222307,96.5385,57.078,81.9482142857143,94.91725,50.35475,75.8396,80.957,61.4767142857143,37.6772857142857,81.0185,87.516,80.7155714285714,89.7205,45.1454,82.9718,66.3836363636364,64.998,73.1411701298701
