id,year,post,sdg_0,sdg_1,sdg_2,sdg_3,sdg_4,sdg_5,sdg_6,sdg_7,sdg_8,sdg_9,sdg_10,sdg_11,sdg_12,sdg_13,sdg_14,sdg_15,sdg_16,sub_region,inter_region,continent,max_sdg_mentioned,max_sdg_column,country_abb,ppp,sdg_index_score,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,no_sdg_related,reducing_ineq,acc_safe_cond,sust_growth,education,sust_partner,climate_action,reducing_ineq_eval,acc_safe_cond_eval,sust_growth_eval,education_eval,sust_partner_eval,climate_action_eval
BRN_73_2018,2018,Second Minister for Foreign Affairs and Trade,0.325709371827542,10.568051040172575,3.654264658689499,3.492102026939392,15.081170201301575,20.35384625196457,1.9959833472967141,2.4401744827628127,3.7806671112775803,0.9767809882760039,8.607423305511475,2.712888456881046,1.6590127721428871,2.88154948502779,1.994801126420498,3.9435449987649918,15.532036125659943,South-eastern Asia,South-eastern Asia,Asia,20.35384625196457,sdg_5,BRN,31240.50179,63.37987651,NA,48.0385,85.97608333,96.99875,62.85566667,60.5406,65.77975,62.05625,74.66257143,NA,98.9465,58.39014286,8.743666667,48.557,46.928,66.64516667,65.5795,0.325709371827542,22.82973900437355,7.928259856998919,20.289484225213528,35.435016453266144,4.371901229023933,8.81989561021328,48.0385,70.76547777666666,67.78799603333333,79.927208335,74.30538095333333,34.742888889
CAF_73_2018,2018,President,0.163219473324716,0.37216804921627,0.269514485262334,0.12730318121612,0.55421688593924,0.808434002101421,0.11814725585281799,0.22234732750803202,0.150252017192542,0.17070502508431598,0.43135187588632096,0.21797865629196103,0.267981691285967,0.17759792972356,0.20386292599141498,0.269249849952757,95.47567367553712,Sub-Saharan Africa,Middle Africa,Africa,95.47567367553712,sdg_16,CAF,435.9322966,40.43424018,4.005,33.48328571,10.72414286,16.80725,25.3085,41.0468,20.35525,65.11283333,7.036571429,9.5775,47.0495,93.79414286,99.40166667,NA,89.8086,47.6578,35.779,0.163219473324716,1.073034410364925,0.46779776457697,95.79663071781398,1.362650888040661,0.48596034757792805,0.650710705667732,15.688595236666666,24.04206428666667,39.935734919666665,21.057875,58.874214286666664,94.605133335
BFA_73_2018,2018,Minister for Foreign Affairs and Cooperation,0.15629893168807,0.21383303683251098,0.152626447379589,0.08672539843246299,0.24826070293784097,0.537240738049149,0.105267402250319,0.11734315194189501,0.093327910872176,0.104884663596749,0.171937444247305,0.157526531256735,0.143263908103108,0.07540361257269901,0.11219044681638399,0.11805761605501099,97.40580916404724,Sub-Saharan Africa,Western Africa,Africa,97.40580916404724,sdg_16,BFA,779.2027686,51.19963147,24.4695,59.261125,45.56657143,25.5045,39.14925,45.7682,9.172,70.17285714,19.2,37.7625,57.962,96.033,98.983,NA,86.5106,49.8494,53.8296,0.15629893168807,0.538396928459405,0.309335952624677,97.60402173851617,0.7855014409869899,0.30079043935984295,0.305651675444094,40.497708333333335,33.50225714333333,46.40741904666667,32.326875,69.27486666666667,92.74680000000001
MDA_73_2018,2018,Prime Minister,0.23474649060517502,0.768629182130098,0.590901356190443,0.22070906125009,1.025354024022817,1.402866095304489,0.27834863867610604,0.393572030588984,0.249501294456422,0.337003474123775,0.65181590616703,0.357900606468319,0.414392305538058,0.38723552133888,0.385637558065354,0.42696245945989997,91.87442064285278,Eastern Europe,Eastern Europe,Europe,91.87442064285278,sdg_16,MDA,4156.44982,77.88335432,98.574,63.25614286,76.45742857,98.74225,71.872,71.617,80.8615,65.295,36.14457143,99.9375,90.23733333,76.46514286,91.972,NA,89.1418,62.1124,73.4476,0.23474649060517502,2.011346444487571,0.89262973051518,92.46092541143298,2.428220119327306,0.7722929120063771,1.199835538864134,87.25588095333335,76.31197619000001,54.51732381,85.307125,80.05002539666667,90.5569
ZWE_73_2018,2018,President,0.111878081224858,6.07060045003891,58.35495591163635,0.490579474717378,0.747623573988676,20.661033689975742,1.116151548922062,0.761216133832931,2.417431026697158,0.5845788866281499,1.4399075880646701,0.272502563893795,1.08328340575099,2.024763077497482,1.3349883258342738,2.2154206410050388,0.313087576068937,Sub-Saharan Africa,Eastern Africa,Africa,58.35495591163635,sdg_2,ZWE,2269.177012,56.91359011,25.739,47.63375,41.06185714,55.94,75.33575,53.4218,40.63425,66.86128571,34.06583333,32.4315,75.03,95.84514286,97.033,NA,75.9906,46.184272730000004,47.4094,0.111878081224858,65.86546394973993,2.3679471574723707,3.315097489394245,21.408657263964418,1.355785969644785,5.575172044336794,35.26808333333333,45.03930238,49.037130590000004,65.63787500000001,72.76151428666667,86.5118
HUN_73_2018,2018,Minister for Foreign Affairs and Trade,0.370501540601253,0.675389450043439,0.39494633674621504,0.252764928154647,0.9532751515507689,0.632686307653784,0.29084880370646704,0.307705113664269,0.239491090178489,0.332955201156437,0.78764362260699206,0.407100701704621,0.246136612258851,0.17499167006462799,0.272284098900854,0.256752385757863,93.40453743934633,Eastern Europe,Eastern Europe,Europe,93.40453743934633,sdg_16,HUN,16425.20503,79.57900108,98.7285,69.832375,83.93592308,92.25025,62.027,86.8802,73.27425,78.87142857,73.53285714,94.5425,95.09475,68.15957143,83.08666667,NA,86.7362,72.76454545,53.547,0.370501540601253,1.857979409396646,0.8513188455253831,93.97698373068125,1.5859614592045528,0.653237313963472,0.7040281547233449,87.701125,81.36345769333333,75.05627705333335,77.13862499999999,72.26710714333333,84.911433335
BLR_73_2018,2018,Minister for Foreign Affairs,0.202434929087758,0.254087010398507,0.193338829558342,0.069445243570953,0.18091659294441298,0.335145136341452,0.06405214080587,0.15105591155588602,0.09783103596419,0.124763359781354,0.269786501303315,0.109157769475132,0.272301700897514,0.43389867059886406,0.14731774572283,0.17285142093896802,96.92162275314332,Eastern Europe,Eastern Europe,Europe,96.92162275314332,sdg_16,BLR,6360.053101,78.67314144,98.989,63.461125,82.54578571,93.53075,77.05525,87.2524,69.9585,60.59228571,53.52285714,100,92.2845,69.59014286,80.69566667,NA,91.2896,68.343,69.6594,0.202434929087758,0.7172123412601641,0.28455329593270906,97.14421714888887,0.5160617292858649,0.381459470372646,0.7540678372606621,87.48337500000001,79.91889523666667,60.81938095,85.293,77.17801428666667,85.992633335
BDI_73_2018,2018,Minister for External Relations and International Cooperation,0.094060658011585,1.327937375754118,1.347275730222463,0.499274209141731,1.294892840087413,89.57480788230896,0.231209862977266,0.586878089234232,0.775250745937228,0.229996652342379,0.9934392757713789,0.267540966160595,0.368023244664073,0.371450232341885,0.333332177251577,0.672822445631027,1.031803246587514,Sub-Saharan Africa,Eastern Africa,Africa,89.57480788230896,sdg_5,BDI,232.0606166,54.19480595,0,59.90771429,46.32178571,41.201,56.2285,55.1446,14.71,65.96733333,12.674,58.366,71.126,96.72042857,99.590333330000007,NA,82.3182,47.469,59.372,0.094060658011585,3.6686523817479597,1.3173621613532291,2.0370506448671213,90.86970072239637,0.635564210824668,1.377604855224489,39.42457143,38.72546190333333,42.03677777666667,48.714749999999995,75.73947619,90.954266665
MLI_73_2018,2018,President,0.461608311161398,6.5644025802612305,3.153471276164055,1.1483969166874881,3.730054199695587,8.910919725894928,0.7710413541644809,1.209607534110546,0.81882644444704,0.624950695782899,2.757664583623409,0.648760749027133,0.836710818111896,1.25130396336317,1.288965623825788,1.111538056284189,64.71177339553833,Sub-Saharan Africa,Western Africa,Africa,64.71177339553833,sdg_16,MLI,856.3565966,55.10330417,41.141,59.86275,38.68242857,9.57425,25.76175,59.802,32.61175,74.00571429,20.98128571,69.184,65.3865,95.52657143,98.98133333,NA,85.2288,56.35633333,48.5664,0.461608311161398,12.475538440048695,3.129045804962515,66.15555053576827,12.640973925590515,1.485471567139029,3.6518076434731475,56.72925,43.69872619,50.44777777666667,17.668,69.82649047666666,92.10506666500001
QAT_73_2018,2018,Emir,0.068492663558572,0.080591556616127,0.058651878498493994,0.038268193020485,0.086035882122814,0.13635519426315998,0.039547114283776996,0.043118116445838996,0.034200784284621,0.050826231017708,0.075649400241672,0.07349293446168301,0.077203230466693,0.032322772312909004,0.05498980754055,0.075620110146701,98.97463321685792,Western Asia,Western Asia,Asia,98.97463321685792,sdg_16,QAT,66264.08117,61.43536,NA,66.0655,89.25342857,93.72725,55.886,52.9152,66.58475,63.96733333,81.30957143,NA,64.54,41.02116667,0,78.8982,48.42633333,75.51016667,43.4255,0.068492663558572,0.214892835356293,0.120933423750101,99.05966023216025,0.222391076385974,0.150696164928376,0.16293269000016,66.0655,69.58445952333334,73.59569047666668,74.806625,49.66222222333334,42.44151111
